year,province,inpatient_discharges,avg_inpatient_cost,total_expenditure,population,pilot_population,exposure,gdp_per_capita,elderly_population,aging_rate,physicians_per_1000,beds_per_1000
2020,Inner_Mongolia,"2,944,120","9,318","27,434,193,396",2403,,2.34%,73156,2765.5,11.51%,3.35,6.98
2020,Liaoning,"5,754,196","11,363","65,384,353,728",4255,,19.46%,60570,6903,16.22%,2.96,7.77
2020,Jilin,"3,047,551","11,956","36,436,215,001",2399,,16.81%,51576,3494,14.56%,3.53,7.55
2020,Heilongjiang,"3,609,448","10,951","39,525,982,214",3171,,29.23%,43573,4786.5,15.09%,3.02,8.43
2020,Shanghai,"3,756,120","21,902","82,266,915,852",2488,,100.00%,167454,3827.5,15.38%,3.15,6.68
2020,Jiangsu,"13,557,604","12,682","171,932,110,886",8477,,7.78%,123411,12400.5,14.63%,3.16,6.61
2020,Zhejiang,"9,653,779","12,303","118,772,373,793",6468,,10.84%,104593,8094.5,12.51%,3.37,5.8
2020,Anhui,"9,455,958","8,664","81,928,311,304",6105,,13.44%,63341,8460,13.86%,2.69,7.25
2020,Fujian,"5,318,392","10,436","55,501,143,394",4161,,6.50%,105283,4101.5,9.86%,2.54,5.55
2020,Jiangxi,"8,037,421","9,295","74,705,416,969",4519,,15.13%,57167,4811,10.65%,2.32,6.95
2020,Shandong,"16,586,698","11,004","182,518,366,122",10165,,9.40%,73362,14777,14.54%,3.24,6.83
2020,Henan,"18,243,978","9,374","171,013,576,579",9941,,5.24%,54592,11677.5,11.75%,2.78,7.62
2020,Hubei,"10,270,373","11,174","114,762,174,939",5745,,18.92%,73711,7775,13.53%,2.77,7.71
2020,Hunan,"14,781,071","8,778","129,745,285,024",6645,,4.34%,62768,8963.5,13.49%,2.86,8.24
2020,Guangdong,"15,676,995","13,839","216,957,069,204",12624,,6.53%,90558,9962,7.89%,2.43,4.81
2020,Guangxi,"9,968,601","9,814","97,828,859,634",5019,,6.18%,44497,5323,10.61%,2.5,6.77
2020,Hainan,"1,158,199","11,645","13,487,343,175",1012,,9.25%,56211,926.5,9.16%,2.69,5.96
2020,Chongqing,"6,741,158","9,412","63,448,453,212",3209,,100.00%,78656,4883,15.22%,2.77,7.81
2020,Sichuan,"17,554,112","9,098","159,702,044,742",8371,,1.45%,59138,12928,15.44%,2.8,8.17
2020,Guizhou,"7,764,277","6,585","51,126,211,190",3858,,7.86%,47517,4035,10.46%,2.53,8.03
2020,Yunnan,"9,679,418","6,957","67,336,807,201",4722,,14.74%,53443,4672,9.89%,2.6,7.27
2020,Tibet,"328,606","7,962","2,616,328,111",366,,0.00%,53825,195,5.33%,2.59,5.49
2020,Shaanxi,"6,727,611","8,741","58,804,702,229",3955,,25.87%,66583,4747,12.00%,2.88,7.32
2020,Gansu,"4,306,015","6,133","26,406,636,988",2501,,9.08%,37218,2908,11.63%,2.54,7.58
2020,Qinghai,"1,015,206","9,114","9,252,587,484",593,,40.46%,52081,513,8.65%,3.09,7.22
2020,Ningxia,"1,071,090","8,676","9,293,098,167",721,,0.00%,56136,643,8.92%,3.09,5.74
2020,Xinjiang,"4,402,996","8,329","36,671,232,785",2590,,13.88%,55398,1901.5,7.34%,2.68,6.94
2019,Beijing,"3,841,485","23,404","89,907,651,534",2190,2190,100.00%,172373,1909,8.72%,4.9,5.93
2019,Tianjin,"1,694,359","18,275","30,964,071,853",1385,1385,100.00%,101858,1461,10.55%,3,4.37
2019,Hebei,"11,855,906","10,067","119,354,591,293",7447,954.97,12.82%,47904,7767,10.43%,3,5.66
2019,Shanxi,"4,993,312","10,793","53,894,813,741",3497,450.84,12.89%,49467,3190,9.12%,2.8,5.86
2019,Inner_Mongolia,"3,614,057","9,222","33,329,917,871",2415,56.61,2.34%,72274,2013,8.34%,3.1,6.34
2019,Liaoning,"7,087,975","11,138","78,945,156,753",4277,832.2,19.46%,59911,5382,12.58%,2.8,7.21
